permit_type,permit_type_desc,permit_num,permit_class_mapped,permit_class,work_class,condominium,project_name,description,property_legal_description,applied_date,issued_date,day_issued,calendar_year_issued,fiscal_year_issued,issuance_method,status_current,status_date,expires_date,completed_date,original_address_1,original_city,original_state,original_zip,latitude,longitude,location
BP,Building Permit,2017-000572 BP,Residential,Residential,New,No,2933 E 14TH ST,New rear dwelling,LOT 17 OLT 29 DIV B CHERNOSKY NO 5,10/10/16,1/9/17,MONDAY,2017,2017,Permit Center,Final,9/21/17,9/21/17,9/21/17,2933 E 14TH ST,EAST AUSTIN,TX,78702,30.27780071,-97.70618912,"(30.27780071, -97.70618912)"
EP,Electrical Permit,2017-000572 EP,Residential,Residential,New,No,2933 E 14TH ST,New rear dwelling Upgrading electrical serivce,LOT 17 OLT 29 DIV B CHERNOSKY NO 5,10/10/16,2/9/17,THURSDAY,2017,2017,Permit Center,Final,8/29/17,8/29/17,8/29/17,2933 E 14TH ST,EAST AUSTIN,TX,78702,30.27780071,-97.70618912,"(30.27780071, -97.70618912)"
PP,Plumbing Permit,2017-000572 PP,Residential,Residential,New,No,2933 E 14TH ST,New rear dwelling,LOT 17 OLT 29 DIV B CHERNOSKY NO 5,10/10/16,2/17/17,FRIDAY,2017,2017,Permit Center,Final,9/21/17,9/21/17,9/21/17,2933 E 14TH ST,EAST AUSTIN,TX,78702,30.27780071,-97.70618912,"(30.27780071, -97.70618912)"
MP,Mechanical Permit,2017-000629 MP,Residential,Residential,Change Out,No,2929 HIGGINS ST,HVAC replacement to existing residence only,LOT 4 BLK E OLT 4950 DIV B PANNELL PLACE,1/4/17,1/4/17,WEDNESDAY,2017,2017,Permit Center,Final,5/16/17,5/16/17,5/16/17,2929 HIGGINS ST,EAST AUSTIN,TX,78722,30.28242038,-97.70681445,"(30.28242038, -97.70681445)"
EP,Electrical Permit,2017-000991 EP,Residential,Residential,Repair,No,1205 COMETA ST,Replace customer owned electrical pole to existing residence only,LOT 3 BLK 4 OLT 21 DIV B CHERNOSKY NO 9 TITLE CANCELED TO REAL ESTATE,1/4/17,1/4/17,WEDNESDAY,2017,2017,Permit Center,Final,1/23/17,1/23/17,1/23/17,1205 COMETA ST,EAST AUSTIN,TX,78721,30.27904384,-97.68920478,"(30.27904384, -97.68920478)"
MP,Mechanical Permit,2017-001114 MP,Residential,Residential,Change Out,No,3003 FRENCH PL,Replacement of complete existing central heat and air system with or without duct work,LOT 14 BLK 7 FOREST HILLS A ADDN,1/4/17,1/9/17,MONDAY,2017,2017,Online,Final,3/6/17,3/6/17,3/6/17,3003 FRENCH PL,EAST AUSTIN,TX,78722,30.28630063,-97.71929986,"(30.28630063, -97.71929986)"
PP,Plumbing Permit,2017-001221 PP,Commercial,Commercial,Repair,No,2211 1/2 ROSEWOOD AVE,Installation of gas line to a natural gas generator to provide backup power for google fiber communication tower,BLK A ROSEWOOD VILLAGE SEC 10,1/5/17,1/5/17,THURSDAY,2017,2017,Permit Center,Final,1/26/17,1/26/17,1/26/17,2211 1/2 ROSEWOOD AVE,EAST AUSTIN,TX,78702,30.2697599,-97.71538775,"(30.2697599, -97.71538775)"
BP,Building Permit,2017-001227 BP,Residential,Renovations/Remodel,Addition and Remodel,No,1605 ALAMO ST UNIT 2,raising existing house to create a carport Interior remodel of existing house,LOT 3  S 25' OF LOT 4 BLK 6 OLT 35 DIV B CROWS SUBD,3/11/16,1/6/17,FRIDAY,2017,2017,Permit Center,Final,4/4/18,4/4/18,4/4/18,1605 ALAMO ST UNIT 2,EAST AUSTIN,TX,78702,30.27759193,-97.71803365,"(30.27759193, -97.71803365)"
EP,Electrical Permit,2017-001227 EP,Residential,Renovations/Remodel,Addition and Remodel,No,1605 ALAMO ST UNIT 2,raising existing house to create a carport Interior remodel of existing house,LOT 3  S 25' OF LOT 4 BLK 6 OLT 35 DIV B CROWS SUBD,3/11/16,2/3/17,FRIDAY,2017,2017,Permit Center,Final,3/26/18,3/26/18,3/26/18,1605 ALAMO ST UNIT 2,EAST AUSTIN,TX,78702,30.27759193,-97.71803365,"(30.27759193, -97.71803365)"
PP,Plumbing Permit,2017-001227 PP,Residential,Renovations/Remodel,Addition and Remodel,No,1605 ALAMO ST UNIT 2,raising existing house to create a carport Interior remodel of existing house,LOT 3  S 25' OF LOT 4 BLK 6 OLT 35 DIV B CROWS SUBD,3/11/16,1/30/17,MONDAY,2017,2017,Permit Center,Final,3/28/18,3/28/18,3/28/18,1605 ALAMO ST UNIT 2,EAST AUSTIN,TX,78702,30.27759193,-97.71803365,"(30.27759193, -97.71803365)"
PP,Plumbing Permit,2017-001363 PP,Commercial,Commercial,Repair,No,2708 E CESAR CHAVEZ ST,Sewer water and yard line installation at commerical property,1289AC OF OLT 28 DIVISION O,1/5/17,1/5/17,THURSDAY,2017,2017,Permit Center,Final,5/22/17,5/22/17,5/22/17,2708 E CESAR CHAVEZ ST,EAST AUSTIN,TX,78702,30.25343423,-97.71352404,"(30.25343423, -97.71352404)"
PP,Plumbing Permit,2017-001411 PP,Residential,Residential,Repair,No,2204 GARDEN ST,Austin Water Violation Plumbing Permit,LOT 11 BLK A OLT 51 DIV O BENSONS SUBD,1/5/17,2/2/17,THURSDAY,2017,2017,Permit Center,Final,2/3/17,2/3/17,2/3/17,2204 GARDEN ST,EAST AUSTIN,TX,78702,30.25303765,-97.72144541,"(30.25303765, -97.72144541)"
PP,Plumbing Permit,2017-001425 PP,Residential,Residential,Repair,No,1179 HARGRAVE ST,Repair existing gas line for SF residence only,LOT 4 BLK 1 OLT 13 DIV B WILSON S I,1/5/17,1/5/17,THURSDAY,2017,2017,Permit Center,Final,1/11/17,1/11/17,1/11/17,1179 HARGRAVE ST,EAST AUSTIN,TX,78702,30.27361502,-97.70862254,"(30.27361502, -97.70862254)"
PP,Plumbing Permit,2017-001426 PP,Residential,Residential,Repair,No,2804 BREEZE TER,Water heater replacement and repair leaking gas pipe to existing residence only,LOT 30 BLK 7 OLT 31 DIV C FOREST HILLS SUBD,1/5/17,1/5/17,THURSDAY,2017,2017,Permit Center,Final,1/17/17,1/17/17,1/17/17,2804 BREEZE TER,EAST AUSTIN,TX,78722,30.28470629,-97.71988178,"(30.28470629, -97.71988178)"
BP,Building Permit,2017-001474 BP,Residential,Single Family Houses,New,No,4801 LOUIS AVE,New single family residence 2 bedroom 2 bath 1 car garage,LOT 1 BLK 12 EASTFIELD,8/29/16,1/6/17,FRIDAY,2017,2017,Permit Center,Final,7/14/17,7/14/17,7/14/17,4801 LOUIS AVE,EAST AUSTIN,TX,78721,30.27539635,-97.68651614,"(30.27539635, -97.68651614)"
BP,Building Permit,2017-001475 BP,Residential,Residential,New,No,4801 LOUIS AVE,New  secondary dwelling unit its 2 bedroom 2 bath 1 car garage,LOT 1 BLK 12 EASTFIELD,8/29/16,1/6/17,FRIDAY,2017,2017,Permit Center,Final,7/13/17,7/13/17,7/13/17,4801 LOUIS AVE,EAST AUSTIN,TX,78721,30.27539635,-97.68651614,"(30.27539635, -97.68651614)"
MP,Mechanical Permit,2017-001474 MP,Residential,Single Family Houses,New,No,4801 LOUIS AVE,New single family residence 2 bedroom 2 bath 1 car garage,LOT 1 BLK 12 EASTFIELD,8/29/16,3/13/17,MONDAY,2017,2017,Permit Center,Final,7/12/17,7/12/17,7/12/17,4801 LOUIS AVE,EAST AUSTIN,TX,78721,30.27539635,-97.68651614,"(30.27539635, -97.68651614)"
PP,Plumbing Permit,2017-001474 PP,Residential,Single Family Houses,New,No,4801 LOUIS AVE,New single family residence 2 bedroom 2 bath 1 car garage,LOT 1 BLK 12 EASTFIELD,8/29/16,1/23/17,MONDAY,2017,2017,Permit Center,Final,7/13/17,7/13/17,7/13/17,4801 LOUIS AVE,EAST AUSTIN,TX,78721,30.27539635,-97.68651614,"(30.27539635, -97.68651614)"
MP,Mechanical Permit,2017-001475 MP,Residential,Residential,New,No,4801 LOUIS AVE,New  secondary dwelling unit its 2 bedroom 2 bath 1 car garage,LOT 1 BLK 12 EASTFIELD,8/29/16,3/13/17,MONDAY,2017,2017,Permit Center,Final,7/12/17,7/12/17,7/12/17,4801 LOUIS AVE,EAST AUSTIN,TX,78721,30.27539635,-97.68651614,"(30.27539635, -97.68651614)"
PP,Plumbing Permit,2017-001475 PP,Residential,Residential,New,No,4801 LOUIS AVE,New  secondary dwelling unit its 2 bedroom 2 bath 1 car garage,LOT 1 BLK 12 EASTFIELD,8/29/16,1/23/17,MONDAY,2017,2017,Permit Center,Final,7/13/17,7/13/17,7/13/17,4801 LOUIS AVE,EAST AUSTIN,TX,78721,30.27539635,-97.68651614,"(30.27539635, -97.68651614)"
PP,Plumbing Permit,2017-001612 PP,Residential,Residential,Irrigation,No,3208 LYONS RD,Install Irrigation system to existing residence,LOT 15 LESS S 10FT OLT 39 DIV A DELZELL SUBD SEC 2,1/5/17,1/5/17,THURSDAY,2017,2017,Permit Center,Final,4/12/17,4/12/17,4/12/17,3208 LYONS RD,EAST AUSTIN,TX,78702,30.26237598,-97.70293672,"(30.26237598, -97.70293672)"
EP,Electrical Permit,2017-001828 EP,Residential,Residential,Repair,No,3406 NEAL ST,Relocate service to existing residence,E 6323FT OF S 15187 FT LOT 3 BLK B OLT 4142 DIV B CHERICO SUBD NO 1,1/6/17,2/6/17,MONDAY,2017,2017,Permit Center,Final,2/24/17,2/24/17,2/24/17,3406 NEAL ST,EAST AUSTIN,TX,78702,30.26435739,-97.70004699,"(30.26435739, -97.70004699)"
BP,Building Permit,2017-001857 BP,Residential,Demolition,Demolition,No,901 E 6TH ST,Demolition of 2 structures 2788 sqft and 790 sqft,W42FT LOT 14  LOT 1518 BLK 2 OLT 1 DIV A CONNERS ADDN,11/22/16,1/6/17,FRIDAY,2017,2017,Permit Center,Final,3/7/19,3/7/19,3/7/19,901 E 6TH ST,EAST AUSTIN,TX,78702,30.265153100000003,-97.73335415,"(30.2651531, -97.73335415)"
BP,Building Permit,2017-001858 BP,Residential,Demolition,Demolition,No,901 E 6TH ST,Demolition of 790sqft house,W42FT LOT 14  LOT 1518 BLK 2 OLT 1 DIV A CONNERS ADDN,11/22/16,1/6/17,FRIDAY,2017,2017,Permit Center,Final,3/7/19,3/7/19,3/7/19,901 E 6TH ST,EAST AUSTIN,TX,78702,30.265153100000003,-97.73335415,"(30.2651531, -97.73335415)"
EP,Electrical Permit,2017-001864 EP,Residential,Residential,Repair,No,5901 BOLM RD,Home Builders Loop Refer to 2016156366 BP,LOT 12A BOLM ROAD ACRES AMENDED PLAT OF LOTS 11  12,1/6/17,1/6/17,FRIDAY,2017,2017,Permit Center,Final,1/26/17,1/26/17,1/26/17,5901 BOLM RD,EAST AUSTIN,TX,78721,30.25628845,-97.6865964,"(30.25628845, -97.6865964)"
EP,Electrical Permit,2017-001890 EP,Residential,Residential,Repair,No,5006 BAKER ST,Temporary Home Builder Loop,LOT 8 BLK B FLOURNOY AND JONES SUBD 4 SEC 1,1/6/17,1/6/17,FRIDAY,2017,2017,Permit Center,Withdrawn,8/29/17,7/5/17,8/29/17,5006 BAKER ST,EAST AUSTIN,TX,78721,30.28299163,-97.67887644,"(30.28299163, -97.67887644)"
PP,Plumbing Permit,2017-001905 PP,Residential,Residential,Repair,No,901 E 6TH ST,cap off waterwastewater lines for demo of residence,W42FT LOT 14  LOT 1518 BLK 2 OLT 1 DIV A CONNERS ADDN,11/22/16,3/6/19,WEDNESDAY,2019,2019,Permit Center,Final,3/7/19,3/7/19,3/7/19,901 E 6TH ST,EAST AUSTIN,TX,78702,30.265153100000003,-97.73335415,"(30.2651531, -97.73335415)"
PP,Plumbing Permit,2017-001907 PP,Residential,Residential,Repair,No,901 E 6TH ST,cap off waterwastewater lines for demo of residence,W42FT LOT 14  LOT 1518 BLK 2 OLT 1 DIV A CONNERS ADDN,11/22/16,3/6/19,WEDNESDAY,2019,2019,Permit Center,Final,3/7/19,3/7/19,3/7/19,901 E 6TH ST,EAST AUSTIN,TX,78702,30.265153100000003,-97.73335415,"(30.2651531, -97.73335415)"
MP,Mechanical Permit,2017-002120 MP,Commercial,Commercial,Repair,No,1602 E CESAR CHAVEZ ST,CHANGE OUT 2 EXITISNG SYSTEM 14 TON GAS SYSTEM  14 TON HEAT PUMP LIKE FOR LIKE,LOT 1 WATER SQUARE,1/6/17,1/9/17,MONDAY,2017,2017,Online,Final,4/11/17,4/11/17,4/11/17,1602 E CESAR CHAVEZ ST,EAST AUSTIN,TX,78702,30.25874963,-97.72817545,"(30.25874963, -97.72817545)"
PP,Plumbing Permit,2017-002164 PP,Residential,Residential,Repair,No,1606 CANTERBURY ST,Austin Water Violation Plumbing Permit,LOT 17A OLT 35 DIV O STANDARD MORTGAGE CO RESUB NO 1,1/7/17,5/12/17,FRIDAY,2017,2017,Permit Center,Final,6/16/17,6/16/17,6/16/17,1606 CANTERBURY ST,EAST AUSTIN,TX,78702,30.25676459,-97.72875176,"(30.25676459, -97.72875176)"
PP,Plumbing Permit,2017-002165 PP,Commercial,Commercial,Repair,No,4305 AIRPORT BLVD,Austin Water Violation Plumbing Permit,LOT 2 BLK D MUELLER SEC III SUBD,1/7/17,3/28/18,WEDNESDAY,2018,2018,Permit Center,Final,4/20/18,4/20/18,4/20/18,4305 AIRPORT BLVD,EAST AUSTIN,TX,78722,30.29903596,-97.70953182,"(30.29903596, -97.70953182)"
BP,Building Permit,2017-002282 BP,Residential,Renovations/Remodel,Repair,No,2520 E 3RD ST,Replace windows and exterior doors size for size replace siding repair drywall and plumbing repairs on existing singlefamily residence  No other changes authorized under this permit,LOT 11 BLK 1 OLT 11 DIV O CHERNOSKY M E,1/9/17,1/9/17,MONDAY,2017,2017,Permit Center,Final,6/13/17,6/13/17,6/13/17,2520 E 3RD ST,EAST AUSTIN,TX,78702,30.25592158,-97.71465094,"(30.25592158, -97.71465094)"
MP,Mechanical Permit,2017-002282 MP,Residential,Renovations/Remodel,Repair,No,2520 E 3RD ST,Replace windows and exterior doors size for size replace siding repair drywall and plumbing repairs on existing singlefamily residence  No other changes authorized under this permit,LOT 11 BLK 1 OLT 11 DIV O CHERNOSKY M E,1/9/17,2/24/17,FRIDAY,2017,2017,Permit Center,Final,3/10/17,3/10/17,3/10/17,2520 E 3RD ST,EAST AUSTIN,TX,78702,30.25592158,-97.71465094,"(30.25592158, -97.71465094)"
PP,Plumbing Permit,2017-002282 PP,Residential,Renovations/Remodel,Repair,No,2520 E 3RD ST,Replace windows and exterior doors size for size replace siding repair drywall and plumbing repairs on existing singlefamily residence  No other changes authorized under this permit,LOT 11 BLK 1 OLT 11 DIV O CHERNOSKY M E,1/9/17,2/6/17,MONDAY,2017,2017,Permit Center,Final,6/13/17,6/13/17,6/13/17,2520 E 3RD ST,EAST AUSTIN,TX,78702,30.25592158,-97.71465094,"(30.25592158, -97.71465094)"
PP,Plumbing Permit,2017-002515 PP,Residential,Residential,Repair,No,1802 MAPLE AVE,Cap off water and waste water for Demo,LOT 7 BLK 4 OLT 3233 DIV B GLENWOOD ADDN,10/14/16,5/24/17,WEDNESDAY,2017,2017,Permit Center,Final,10/17/17,10/17/17,10/17/17,1802 MAPLE AVE,EAST AUSTIN,TX,78702,30.27965699,-97.71626015,"(30.27965699, -97.71626015)"
BP,Building Permit,2017-002560 BP,Commercial,Demolition,Demolition,No,1401 E 6TH ST,Total demo of 4386 sqft comm bldg,LOT 12 BLK 4 OLT 4 DIVISION A PLUS ADJ ALLEY,9/29/16,1/13/17,FRIDAY,2017,2017,Permit Center,Final,11/1/19,11/1/19,11/1/19,1401 E 6TH ST,EAST AUSTIN,TX,78702,30.26359204,-97.72839965,"(30.26359204, -97.72839965)"
EP,Electrical Permit,2017-002582 EP,Residential,Residential,Repair,No,1908 E 11TH ST,Replacerepair meter base to SF res home nly,LOT 5 BLK C OLT 862 DIV B COLLEGE HEIGHTS ADDN,1/9/17,1/9/17,MONDAY,2017,2017,Permit Center,Final,1/12/17,1/12/17,1/12/17,1908 E 11TH ST,EAST AUSTIN,TX,78702,30.2659907,-97.71977373,"(30.2659907, -97.71977373)"
PP,Plumbing Permit,2017-002642 PP,Residential,Residential,Repair,No,2910 GOVALLE AVE,cap off water and waste water,LOT 2A BLK 2 CHERICO SUBD NO 2 RESUB PT LTS 1  2 BLK 2,10/19/16,1/10/17,TUESDAY,2017,2017,Permit Center,Final,1/11/17,1/11/17,1/11/17,2910 GOVALLE AVE,EAST AUSTIN,TX,78702,30.26703504,-97.70454295,"(30.26703504, -97.70454295)"
BP,Building Permit,2017-002670 BP,Commercial,Renovations/Remodel,Remodel,No,2815 MANOR RD UNIT B,Interior remodel to existing AdmnBusProf Office,LOT 2 LESS N 10FT BLK 3 OLT 48 DIV B AUSTIN HEIGHTS,1/9/17,1/10/17,TUESDAY,2017,2017,Permit Center,Final,2/21/17,2/21/17,2/21/17,2815 MANOR RD UNIT 204,EAST AUSTIN,TX,78722,30.28515345,-97.71120852,"(30.28515345, -97.71120852)"
EP,Electrical Permit,2017-002670 EP,Commercial,Renovations/Remodel,Remodel,No,2815 MANOR RD UNIT B,Interior remodel to existing AdmnBusProf Office,LOT 2 LESS N 10FT BLK 3 OLT 48 DIV B AUSTIN HEIGHTS,1/9/17,1/10/17,TUESDAY,2017,2017,Online,Final,2/13/17,2/13/17,2/13/17,2815 MANOR RD UNIT 204,EAST AUSTIN,TX,78722,30.28515345,-97.71120852,"(30.28515345, -97.71120852)"
MP,Mechanical Permit,2017-002670 MP,Commercial,Renovations/Remodel,Remodel,No,2815 MANOR RD UNIT B,Interior remodel to existing AdmnBusProf Office,LOT 2 LESS N 10FT BLK 3 OLT 48 DIV B AUSTIN HEIGHTS,1/9/17,1/11/17,WEDNESDAY,2017,2017,Online,Final,2/14/17,2/14/17,2/14/17,2815 MANOR RD UNIT 204,EAST AUSTIN,TX,78722,30.28515345,-97.71120852,"(30.28515345, -97.71120852)"
PP,Plumbing Permit,2017-002670 PP,Commercial,Renovations/Remodel,Remodel,No,2815 MANOR RD UNIT B,Interior remodel to existing AdmnBusProf Office,LOT 2 LESS N 10FT BLK 3 OLT 48 DIV B AUSTIN HEIGHTS,1/9/17,1/12/17,THURSDAY,2017,2017,Online,Final,2/13/17,2/13/17,2/13/17,2815 MANOR RD UNIT 204,EAST AUSTIN,TX,78722,30.28515345,-97.71120852,"(30.28515345, -97.71120852)"
BP,Building Permit,2017-002702 BP,Commercial,Renovations/Remodel,Remodel,No,900 CHICON ST,Interior Remodel to Existing Educational Facility Snack Bar,ALL OF LOT 7 LESS W 16FT OF DIVISION B,12/15/16,1/24/17,TUESDAY,2017,2017,Permit Center,Final,10/30/17,10/30/17,10/30/17,900 CHICON ST,EAST AUSTIN,TX,78702,30.2646673,-97.72136842,"(30.2646673, -97.72136842)"
EP,Electrical Permit,2017-002702 EP,Commercial,Renovations/Remodel,Remodel,No,900 CHICON ST,Interior Remodel to Existing Educational Facility Snack Bar,ALL OF LOT 7 LESS W 16FT OF DIVISION B,12/15/16,1/27/17,FRIDAY,2017,2017,Permit Center,Final,3/8/17,3/8/17,3/8/17,900 CHICON ST,EAST AUSTIN,TX,78702,30.2646673,-97.72136842,"(30.2646673, -97.72136842)"
MP,Mechanical Permit,2017-002702 MP,Commercial,Renovations/Remodel,Remodel,No,900 CHICON ST,Interior Remodel to Existing Educational Facility Snack Bar,ALL OF LOT 7 LESS W 16FT OF DIVISION B,12/15/16,2/20/17,MONDAY,2017,2017,Permit Center,Final,3/10/17,3/10/17,3/10/17,900 CHICON ST,EAST AUSTIN,TX,78702,30.2646673,-97.72136842,"(30.2646673, -97.72136842)"
PP,Plumbing Permit,2017-002702 PP,Commercial,Renovations/Remodel,Remodel,No,900 CHICON ST,Interior Remodel to Existing Educational Facility Snack Bar,ALL OF LOT 7 LESS W 16FT OF DIVISION B,12/15/16,2/14/17,TUESDAY,2017,2017,Permit Center,Final,4/14/17,4/14/17,4/14/17,900 CHICON ST,EAST AUSTIN,TX,78702,30.2646673,-97.72136842,"(30.2646673, -97.72136842)"
PP,Plumbing Permit,2017-002750 PP,Residential,Residential,Irrigation,No,406 N PLEASANT VALLEY RD,Install new irrigation system to new SF residence only,LOT 7 OLT 12 DIV O PACE D C ADDN,4/13/16,1/10/17,TUESDAY,2017,2017,Permit Center,Final,2/7/17,2/7/17,2/7/17,406 N PLEASANT VALLEY RD,EAST AUSTIN,TX,78702,30.25601859,-97.71159422,"(30.25601859, -97.71159422)"
EP,Electrical Permit,2017-002759 EP,Commercial,Renovations/Remodel,Remodel,No,4001 TANNEHILL LN,Interior remodel and installation of fire alarm systems rooftop gas rooftop units and an accessibility lift  in cafetorium to an existing AISD school,ABS 22 SUR 29 TANNEHILL J C ACR 9767,12/2/16,8/14/17,MONDAY,2017,2017,Permit Center,Final,7/26/18,7/26/18,7/26/18,4001 TANNEHILL LN,EAST AUSTIN,TX,78721,30.27877316,-97.67386514,"(30.27877316, -97.67386514)"
MP,Mechanical Permit,2017-002759 MP,Commercial,Renovations/Remodel,Remodel,No,4001 TANNEHILL LN,Interior remodel and installation of fire alarm systems rooftop gas rooftop units and an accessibility lift  in cafetorium to an existing AISD school,ABS 22 SUR 29 TANNEHILL J C ACR 9767,12/2/16,7/24/17,MONDAY,2017,2017,Permit Center,Final,8/25/17,8/25/17,8/25/17,4001 TANNEHILL LN,EAST AUSTIN,TX,78721,30.27877316,-97.67386514,"(30.27877316, -97.67386514)"
PP,Plumbing Permit,2017-002759 PP,Commercial,Renovations/Remodel,Remodel,No,4001 TANNEHILL LN,Interior remodel and installation of fire alarm systems rooftop gas rooftop units and an accessibility lift  in cafetorium to an existing AISD school,ABS 22 SUR 29 TANNEHILL J C ACR 9767,12/2/16,7/28/17,FRIDAY,2017,2017,Permit Center,Final,9/29/17,9/29/17,9/29/17,4001 TANNEHILL LN,EAST AUSTIN,TX,78721,30.27877316,-97.67386514,"(30.27877316, -97.67386514)"
EP,Electrical Permit,2017-002766 EP,Residential,Single Family Houses,New,No,4801 LOUIS AVE,New single family residence 2 bedroom 2 bath 1 car garage,LOT 1 BLK 12 EASTFIELD,8/29/16,1/12/17,THURSDAY,2017,2017,Online,Final,6/7/17,6/7/17,6/7/17,4801 LOUIS AVE,EAST AUSTIN,TX,78721,30.27539635,-97.68651614,"(30.27539635, -97.68651614)"
EP,Electrical Permit,2017-002768 EP,Residential,Residential,New,No,4801 LOUIS AVE,New  secondary dwelling unit its 2 bedroom 2 bath 1 car garage,LOT 1 BLK 12 EASTFIELD,8/29/16,1/12/17,THURSDAY,2017,2017,Online,Final,6/7/17,6/7/17,6/7/17,4801 LOUIS AVE,EAST AUSTIN,TX,78721,30.27539635,-97.68651614,"(30.27539635, -97.68651614)"
EP,Electrical Permit,2017-002872 EP,Commercial,Commercial,Special Inspections Program,No,1000 E 11TH ST,Install light switch and desk outlet to existing commercial 2nd Floor Street Jones Bldg,LOT 15B BLK 1 1000 BLOCK OF EAST 11TH STREET SUBD REPLAT OF,1/10/17,1/10/17,TUESDAY,2017,2017,Permit Center,Final,1/17/17,7/9/17,1/17/17,1000 E 11TH ST,EAST AUSTIN,TX,78702,30.26962437,-97.7299289,"(30.26962437, -97.7299289)"
BP,Building Permit,2017-002882 BP,Residential,Renovations/Remodel,Addition and Remodel,No,1128 RICHARDINE AVE,Partial demo addition of office dining room and master suite Interior remodel,LOT 14 BLK 7 BROOKSDALE,10/10/16,1/11/17,WEDNESDAY,2017,2017,Permit Center,Final,1/18/18,1/18/18,1/18/18,1128 RICHARDINE AVE,EAST AUSTIN,TX,78721,30.269794800000003,-97.68602966,"(30.2697948, -97.68602966)"
EP,Electrical Permit,2017-002882 EP,Residential,Renovations/Remodel,Addition and Remodel,No,1128 RICHARDINE AVE,Partial demo addition of office dining room and master suite Interior remodel,LOT 14 BLK 7 BROOKSDALE,10/10/16,6/30/17,FRIDAY,2017,2017,Permit Center,Final,7/6/17,1/2/18,6/29/17,1128 RICHARDINE AVE,EAST AUSTIN,TX,78721,30.269794800000003,-97.68602966,"(30.2697948, -97.68602966)"
MP,Mechanical Permit,2017-002882 MP,Residential,Renovations/Remodel,Addition and Remodel,No,1128 RICHARDINE AVE,Partial demo addition of office dining room and master suite Interior remodel,LOT 14 BLK 7 BROOKSDALE,10/10/16,4/18/17,TUESDAY,2017,2017,Permit Center,Final,12/29/17,12/29/17,12/29/17,1128 RICHARDINE AVE,EAST AUSTIN,TX,78721,30.269794800000003,-97.68602966,"(30.2697948, -97.68602966)"
PP,Plumbing Permit,2017-002882 PP,Residential,Renovations/Remodel,Addition and Remodel,No,1128 RICHARDINE AVE,Partial demo addition of office dining room and master suite Interior remodel,LOT 14 BLK 7 BROOKSDALE,10/10/16,3/9/17,THURSDAY,2017,2017,Permit Center,Final,12/29/17,12/29/17,12/29/17,1128 RICHARDINE AVE,EAST AUSTIN,TX,78721,30.269794800000003,-97.68602966,"(30.2697948, -97.68602966)"
BP,Building Permit,2017-002972 BP,Residential,Single Family Houses,New,No,1102 DELANO ST Unit A,New single family residential  2 stories and attic 3 bedrooms 25 baths 2 car parking,LOT 12 BLK 2 GREEN VALLEY NO 1 TITLE CANCELLED TO REAL ESTATE,9/26/16,1/19/17,THURSDAY,2017,2017,Permit Center,Final,8/9/18,8/9/18,8/9/18,1102 DELANO ST,EAST AUSTIN,TX,78721,30.27151725,-97.67928384,"(30.27151725, -97.67928384)"
BP,Building Permit,2017-002973 BP,Residential,Residential,New,No,1102 DELANO ST Unit B,New secondary dwelling  2 stories 2 bedrooms 2 bath,LOT 12 BLK 2 GREEN VALLEY NO 1 TITLE CANCELLED TO REAL ESTATE,9/26/16,1/19/17,THURSDAY,2017,2017,Permit Center,Final,6/28/18,6/28/18,6/28/18,1102 DELANO ST,EAST AUSTIN,TX,78721,30.27151725,-97.67928384,"(30.27151725, -97.67928384)"
BP,Building Permit,2017-002997 BP,Residential,Renovations/Remodel,Addition and Remodel,No,1909 E 2ND ST,partail demo  addition remodel to sfr,LOT 11 BLK 1 OLT 2324 DIV O FAIR GROUNDS ADDN,11/21/16,1/13/17,FRIDAY,2017,2017,Permit Center,Final,12/19/17,12/19/17,12/19/17,1909 E 2ND ST,EAST AUSTIN,TX,78702,30.25760299,-97.72359351,"(30.25760299, -97.72359351)"
EP,Electrical Permit,2017-002997 EP,Residential,Renovations/Remodel,Addition and Remodel,No,1909 E 2ND ST,partail demo  addition remodel to sfr rebuild electrical service,LOT 11 BLK 1 OLT 2324 DIV O FAIR GROUNDS ADDN,11/21/16,3/3/17,FRIDAY,2017,2017,Permit Center,Final,11/9/17,11/9/17,11/9/17,1909 E 2ND ST,EAST AUSTIN,TX,78702,30.25760299,-97.72359351,"(30.25760299, -97.72359351)"
MP,Mechanical Permit,2017-002997 MP,Residential,Renovations/Remodel,Addition and Remodel,No,1909 E 2ND ST,partail demo  addition remodel to sfr,LOT 11 BLK 1 OLT 2324 DIV O FAIR GROUNDS ADDN,11/21/16,6/28/17,WEDNESDAY,2017,2017,Permit Center,Final,12/14/17,12/14/17,12/14/17,1909 E 2ND ST,EAST AUSTIN,TX,78702,30.25760299,-97.72359351,"(30.25760299, -97.72359351)"
PP,Plumbing Permit,2017-002997 PP,Residential,Renovations/Remodel,Addition and Remodel,No,1909 E 2ND ST,partail demo  addition remodel to sfr,LOT 11 BLK 1 OLT 2324 DIV O FAIR GROUNDS ADDN,11/21/16,1/31/17,TUESDAY,2017,2017,Permit Center,Final,12/7/17,12/7/17,12/7/17,1909 E 2ND ST,EAST AUSTIN,TX,78702,30.25760299,-97.72359351,"(30.25760299, -97.72359351)"
